q1,av1,ai1
Garlaikotību,1,1
neveikli un smieklīgi,0,0
Nepacietīga,-2,-2
Vilšanās,-1,-1
Kļūdas pieļāvība,1,4
Līdzjūtība,-2,0
Iedvesmota,4,4
pretīgu,1,4
trauksme,0,2
Aizkaitinājums,-2,1
Riebums,1,1
Mulsums,-2,3
CRINGE,-2,3
pretīgums,1,4
Pretigums,-2,2
samulsis,-1,-1
Riebums,1,1
riebums,1,1
šausminoša,1,0
gaidas,0,-1
Pretīgi,-2,3
Dusmas.,1,4
līdzjūtīgi,2,-2
Vecs dators..,0,-2
šausmas,1,4
bļe,0,0
domīgums,0,0
Riebums,-2,2
Līdzjūtība,-2,3
Briesmas,-2,1
"Satraukums, līdzjūtība",-1,1
Riebumu,1,1
Nepatīkama,1,-1
Šoks,1,4
Nepatīkamu,1,2
Smiekligi,1,1
Riebums,1,2
trauksme,1,-1
vilšanās,-1,3
"Nelāgas izjūtas, iespējams, bailes no sāpēm.",1,4
Cik neveikli! Neveiksme!,-1,2
bik pretīgi,-2,2
Cringe,-1,1
šoks,1,1
Gādība,3,2
"Šoks no sākotnēja prieka, ka visi palīdzēja",-2,3
šausmas,1,3
Riebums,-2,3
līdzjūtība,1,4
Sāpes,1,1
"pretīgi,",1,2
skumjas,-1,0
Lepnums,1,2
"fui, disgusting",1,3
riebums,1,0
Līdzjūtība,-2,2
pārbīlis un līdzjūtība,-1,1
Nepatika,1,1
smieklus,1,1
Sāpinājums,-1,1
"Satraukums, noraizējusies, jūtu līdzi",0,0
Miers,4,-2
patīkami pārsteigta,0,1
Garlaicība,1,1
Aizkaitinājumu,-2,2
"Pretīgums, riebums, nepatika, fuj fuj fuj fuj fuj GET OUT",1,4
šausmas,1,2
sāpes,1,2
Aizkaitināmība,-1,0
Neziņa,1,1
patīkama un vilšanās,0,3
Slikta dūša,1,4
Atvieglojums,-1,0
Apjukums,1,1
Izbrīnu,0,0
"Prieku, par pretinieka palīdzēšanu",-1,-1
nepatika,-2,2
Žēlumu,-2,1
Pretīgums?,1,0
Neērti,0,0
Neprecizitāte,-1,0
fuj,-2,1
Skumjas un līdzjūtība,-1,1
Skumjas,1,1
Izmisums,1,1
Līdzjūtība,0,0
Atvieglota,3,4
"Riebums, līdzjūtība",1,4
šokēta,-2,4
"garlaicīgi, iemidzinoši",2,1
Skumjas,1,1
skumjas,1,-1
vispasaulīgums,4,-2
bezcerība,-1,1
Bēdas.,1,-2
mierīgums,4,-2
Miers,2,-2
Konstruēta drāma.,0,0
Interese,4,1
miers,2,-1
Bauda,3,-1
nekādu,0,0
Apbrīnu,2,1
Siltumu,0,1
Pārsteigums,-1,-1
Izbrīnu,0,0
ekstāze,4,2
Skumjas,-1,0
Mīļums,1,0
Labsajūta,3,0
Miers,3,-2
Skumjas,0,0
apbrīna par absolūtu skaidtumu,3,3
Mieru,4,2
Sapņaini,4,-2
Laime,4,0
Satriecoši patīkama,4,4
no līdzjūtības uz sapratni,0,1
Prieks,4,0
prieks,4,3
pilnība,4,4
Miers.,4,1
Prieks par Pasaules dzimšanu.,4,4
atmiņas,2,-1
Krāšņi,1,1
Ilgas pēc nākotnes,-1,-2
Žēlsirdība,-1,0
Mieru,4,1
"sāpīgi par redzēto un prieks, ka šādiem cilvēkiem var palīdzēt",0,2
"Miers, labsajūta",3,0
melanholiski,4,0
Miers,3,0
skaisti,4,-2
"man pietrukst skaņas lai kaut ko izjūstu, garlaicība",0,1
vilšanās,-2,0
miers,4,0
miers,4,1
Miers,3,-2
apbrīna un miers,4,0
pārsteigums,1,0
interesi,0,0
skumjas,-2,0
"Apbrīns, atvieglojums, uzmundrinājums",4,1
Atvieglojums,3,3
pragmatiska,1,-2
Meditativi,0,-2
bailes un atvieglojums,0,2
Vilšanās,-2,-1
vienaldzību,0,0
piepildījums,3,-2
vilšanās,-2,-2
Apbrīns,2,0
"Lizjūtība, sēras",-1,0
Iedvesmojoša,4,2
nepatīkami,-2,-2
Apbrīna,4,0
Apbrīnu,3,3
pārbīlis un tad miers,1,3
miers,4,1
Naids,-1,0
Vientulība,-1,-2
Mieru,4,2
mīļums,4,-2
laime,3,3
"Garlaicīgi, vilšanās",-1,-2
Prieks,2,0
skumjas,-2,0
vilšanos,-1,-1
Skumjas,1,1
Izbrīns,4,4
Mierīga,4,-2
ļoti mīļi un silta sajūta,4,2
Pārsteigums,1,-1
Mierīgums,2,0
žēlastība,-2,-2
Sāpes,1,1
Bēdas,-2,0
riebums,-2,3
Nepatika,-2,-2
Mīļumu,1,0
Izbrīns,0,0
satraukums,-2,2
riebums,-1,0
līdzjūtība,1,0
Baisi,-1,1
Riebums,1,3
Izmisīgas skumjas un atvieglojums,0,0
Žēlumu,-1,0
pretīgums,-2,-1
aizkaitinājums,1,2
atvieglojums,2,-1
Diskomforts,-1,0
Dusmas,-2,2
fascinējoši,2,4
Riebums,-2,1
Dusmas,1,0
Noraidoša,-2,2
Ironija,-2,-1
Briesmīgq,1,4
Dusmas,-2,1
Neizpratne,1,1
izbrīna,0,-1
pretruna,1,2
Dusmas.,0,4
Kristietīgās baznīcas centieni manipulēt.,-2,0
bad cg,1,-1
Dusmas,-1,0
Sašutums,-2,-2
milestība,4,1
Neizpratni,1,-1
Vilšanās,0,3
Miegaina,1,1
"neizpratne, apjukums",-2,3
Dusmas,-2,0
nepatīk un nedaudz bail par turpinājumu,1,1
gandarījums,3,2
Izbrīns,1,1
vienaldzība,-1,0
satraukums,-2,0
Riebums,-2,3
nepatika un bailes,1,3
Skumja,-2,1
Vienaldzību,0,-1
dusmas,1,3
Uztraukums,-1,2
Garlaicīgumu,-2,-2
šokēta,1,-1
Tumblr,-2,-2
Prieks,2,-2
pasakainums,3,2
